metric,value,date
current_price,497.989990234375,2026-03-13
52_week_high,598.9600219726562,2026-03-13
52_week_low,479.9200134277344,2026-03-13
pct_from_52week_high,-16.86,2026-03-13
pct_change_1y,-4.2,2026-03-13
