metric,value,date
current_price,207.6699981689453,2026-03-13
52_week_high,254.0,2026-03-13
52_week_low,167.32000732421875,2026-03-13
pct_from_52week_high,-18.24,2026-03-13
pct_change_1y,7.11,2026-03-13
