metric,value,date
current_price,1345.68994140625,2026-03-13
52_week_high,1526.510009765625,2026-03-13
52_week_low,595.3699951171875,2026-03-13
pct_from_52week_high,-11.85,2026-03-13
pct_change_1y,93.74,2026-03-13
