metric,value,date
current_price,302.2799987792969,2026-03-13
52_week_high,343.69000244140625,2026-03-13
52_week_low,144.6999969482422,2026-03-13
pct_from_52week_high,-12.05,2026-03-13
pct_change_1y,85.72,2026-03-13
