label,cagr,volatility,sharpe,sortino,calmar,max_drawdown,max_dd_duration,var_95,cvar_95,hit_rate,total_return,best_month,worst_month,avg_up_month,avg_down_month,up_down_ratio,win_streak,lose_streak,n_months
Model Portfolio,0.1002379992947866,0.11676227995758902,0.8584792908394351,1.2665766651650436,0.36443072814610517,-0.27505364271752586,22,,,0.6555183946488294,9.80709044749149,0.0922326705167844,-0.10162634312895877,0.027435950382918583,-0.027912346556668598,0.9829324212214541,15,5,299
95/5,0.08672828797172505,0.1409666240129416,0.6152398738283102,0.8398455635734435,0.1776435991291756,-0.48821510258109313,52,,,0.6521739130434783,6.943542448585941,0.1206615834713122,-0.15685203351329613,0.030534688889776212,-0.035560351900554954,0.8586722925343067,15,5,299
60/40 Reference,0.06339029713347455,0.08900506808932322,0.712209972918145,0.9733868701479919,0.19124997205115613,-0.3314525824689727,41,,,0.6588628762541806,3.6247998383662203,0.076406877280127,-0.09850874046453795,0.019633598901305636,-0.02234223302374908,0.8787661860135354,15,5,299
Equity Only,0.08985545469927758,0.14839306682359207,0.605523267512873,0.8267720566254385,0.1769336932340064,-0.5078481834459752,52,,,0.6488294314381271,7.5331322996670345,0.12698368435576723,-0.16518678966311873,0.03222883297254311,-0.03751188142954873,0.8591633302390406,15,5,299
T-Bills Only,0.017980517690012077,0.0053342088902894515,3.3707936940273058,3.3707936940273058,0.0,0.0,0,,,0.9933110367892977,0.5589841728287162,0.004441666666666677,4.166666666671759e-05,0.0014973625140291896,0.0,inf,297,1,299
