metric,value,date
current_price,282.0899963378906,2026-03-13
52_week_high,599.469970703125,2026-03-13
52_week_low,237.77000427246094,2026-03-13
pct_from_52week_high,-52.94,2026-03-13
pct_change_1y,-41.42,2026-03-13
