metric,value,date
current_price,613.7100219726562,2026-03-13
52_week_high,790.0,2026-03-13
52_week_low,484.6600036621094,2026-03-13
pct_from_52week_high,-22.32,2026-03-13
pct_change_1y,3.91,2026-03-13
