metric,value,date
current_price,73.33000183105469,2026-03-13
52_week_high,100.0999984741211,2026-03-13
52_week_low,64.62000274658203,2026-03-13
pct_from_52week_high,-26.74,2026-03-13
pct_change_1y,5.5,2026-03-13
