metric,value,date
current_price,249.32000732421875,2026-03-13
52_week_high,420.67999267578125,2026-03-13
52_week_low,246.67999267578125,2026-03-13
pct_from_52week_high,-40.73,2026-03-13
pct_change_1y,-34.01,2026-03-13
