metric,value,date
current_price,95.30999755859375,2026-03-13
52_week_high,133.91299438476562,2026-03-13
52_week_low,75.86000061035156,2026-03-13
pct_from_52week_high,-28.83,2026-03-13
pct_change_1y,7.07,2026-03-13
